CaseID,duration,Children6to17,childage,parental,childgender,sleepneeds,oftbathpar,oftmusicpar,oftalcoholpar,oftreadpar,oftyogapar,oftTVpar,oftonlinepar,oftOTCpar,oftotherpar,bed_school,wake_school,bed_nonschool,wake_nonschool,bedhours_school,bedhours_nonschool,sleephours_school,sleephours_nonschool,wakeupatnight,sleepinschool
947,7,1,7,1,1,7,4,4,4,4,4,1,4,4,4,9,6,11,9,9,10,7,10,1,1
958,13,1,11,1,2,8,4,4,4,4,4,4,4,4,4,10,6,11,10,8,11,7,10,1,1
969,12,2,14,1,2,9,3,4,4,1,4,4,4,4,4,10,7,10,9,9,11,7,10,2,1
1006,10,1,17,1,2,8,2,2,3,1,3,2,2,4,4,11,7,12,10,8,10,7,10,1,2
1024,13,1,15,1,1,8,3,4,4,2,4,1,2,4,3,10,6,12,10,8,10,7,10,2,3
1064,8,1,11,1,2,8,2,4,2,4,4,2,2,2,3,10,6,11,9,8,10,7,10,2,1
1159,17,1,13,1,1,10,2,2,1,4,4,3,3,4,4,12,7,13,13,7,11,7,10,1,1
1193,11,2,15,1,2,8,4,4,4,3,4,2,3,4,4,9,6,10,10,9,12,7,10,2,1
1207,21,1,17,5,2,10,4,4,4,3,4,1,3,4,4,11,7,13,11,8,10,7,10,1,1
1257,56,2,6,1,1,8,1,1,3,2,-1,2,2,4,-1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,10,2,1
1274,24,1,16,1,1,7,3,1,4,2,3,2,4,4,3,10,6,12,10,8,10,7,10,1,2
1287,1336,1,13,2,2,8,4,4,4,4,4,3,3,4,4,10,6,#NULL!,#NULL!,8,#NULL!,7,10,2,1
1326,23,2,15,1,2,10,2,3,4,3,4,1,4,4,4,10,6,10,11,8,13,7,10,2,1
1352,8,2,14,2,2,8,4,4,4,4,4,2,4,4,2,11,6,13,11,7,10,7,10,1,3
1417,17,3,15,2,1,8,1,2,4,2,4,2,3,4,2,10,6,13,12,8,10,7,10,3,1
1425,33,1,14,1,1,8,3,1,4,3,4,2,2,4,2,10,7,13,13,9,12,7,10,1,1
1447,11,1,17,1,2,8,2,2,4,2,4,3,3,3,2,10,5,11,10,7,11,7,10,1,1
1456,12,2,10,1,1,8,2,3,2,4,4,1,2,2,3,10,6,13,12,8,10,7,10,2,1
1477,10,2,15,1,2,8,3,4,4,3,4,3,4,4,4,9,6,11,11,9,12,7,10,1,1
1494,8,3,13,1,2,8,2,3,4,3,3,2,3,2,4,9,6,11,12,9,13,7,10,2,1
6,9,2,13,1,2,9,4,3,3,3,4,2,4,4,4,10,6,11,9,8,10,8,10,1,1
11,9,3,17,2,2,9,3,3,3,2,4,2,4,3,4,#NULL!,#NULL!,11,9,#NULL!,10,8,10,1,1
15,32,1,16,1,1,9,4,4,3,2,4,1,2,3,3,10,7,13,11,9,10,8,10,2,1
29,12,2,14,5,1,8,3,4,3,1,3,2,3,1,1,9,6,10,9,9,11,8,10,1,1
40,12,2,11,1,2,8,3,3,3,2,4,1,2,4,4,9,6,10,8,9,10,8,10,1,1
45,14,1,16,1,2,10,1,4,4,2,1,3,4,4,2,10,6,11,12,8,13,8,10,2,1
54,20,3,10,1,1,8,2,1,3,2,3,2,2,2,3,9,6,11,9,9,10,8,10,2,2
59,7,2,14,1,1,8,4,4,4,2,4,1,4,4,4,10,6,11,9,8,10,8,10,1,1
76,14,1,13,1,1,8,1,4,4,2,4,4,4,4,4,9,6,11,10,9,11,8,10,1,1
89,17,1,16,1,1,8,4,4,4,2,4,2,2,3,4,9,6,10,9,9,11,8,10,1,1
95,9,1,17,1,1,8,4,4,4,1,3,2,2,4,4,10,7,11,10,9,11,8,10,2,1
115,21,1,17,1,1,9,1,2,3,1,4,1,1,3,2,9,6,12,12,9,12,8,10,2,1
121,8,3,14,1,1,9,2,3,4,2,4,1,2,4,4,10,6,12,10,8,10,8,10,1,1
177,11,1,14,1,2,10,1,4,4,4,4,1,4,4,4,8,5,12,9,9,9,8,10,2,1
181,2487,2,11,1,2,8,2,4,4,3,4,4,4,4,-1,9,6,11,9,9,10,8,10,1,2
187,30,2,11,1,1,8,1,1,4,3,3,4,4,4,4,11,7,12,11,8,11,8,10,1,1
239,8,1,15,1,1,8,3,3,4,2,4,2,2,4,4,10,7,11,9,9,10,8,10,2,1
276,7,3,13,1,1,9,4,4,4,1,4,4,4,4,4,10,6,10,8,8,10,8,10,1,1
278,8,2,7,1,1,9,2,4,4,3,4,4,4,1,4,9,6,10,9,9,11,8,10,1,1
281,16,1,7,1,1,8,2,3,4,1,4,2,2,4,4,9,5,10,8,8,10,8,10,1,1
319,9,1,17,1,2,9,4,3,4,2,4,2,2,4,4,11,7,11,10,8,11,8,10,1,1
335,7,2,13,1,1,8,3,3,4,2,4,1,3,4,4,11,7,11,9,8,10,8,10,1,1
341,13,1,11,1,2,8,1,2,3,2,4,1,3,4,4,9,6,#NULL!,#NULL!,9,#NULL!,8,10,2,1
351,7,2,17,1,1,8,4,4,4,1,4,4,4,4,4,10,6,12,10,8,10,8,10,1,1
401,24,1,12,1,1,8,1,1,4,1,-1,1,1,1,1,10,7,10,8,9,10,8,10,1,1
451,8,2,17,1,1,8,2,3,2,2,2,2,2,3,4,10,6,12,10,8,10,8,10,1,1
455,1390,2,15,1,1,8,1,1,3,2,4,3,3,4,2,10,6,11,9,8,10,8,10,1,1
476,11,2,14,1,2,8,2,3,4,2,4,1,2,4,4,10,6,11,9,8,10,8,10,1,1
478,13,1,16,1,1,8,4,2,3,2,4,1,4,3,4,10,6,12,11,8,11,8,10,1,1
493,7,1,6,1,2,10,3,4,4,2,4,1,2,4,4,10,7,10,9,9,11,8,10,1,1
545,9,1,17,1,2,10,1,3,2,3,4,2,4,2,4,10,6,12,11,8,11,8,10,1,2
564,13,1,17,1,1,8,4,4,4,4,4,4,4,4,4,10,7,12,11,9,11,8,10,1,1
583,33,2,16,1,1,9,4,3,4,2,4,2,3,4,4,10,7,11,10,9,11,8,10,1,1
585,11,2,11,3,1,9,1,2,3,2,3,1,2,4,4,10,7,13,12,9,11,8,10,2,1
