CaseID,TVchildBR,compchildBR,tabletchildBR,cellchildBR,gamechildBR,mp3childBR,count
712,1,1,1,1,1,1,6
741,1,2,1,2,1,1,8
782,1,2,2,2,2,2,11
784,2,2,2,1,2,1,10
805,1,2,1,2,1,2,9
814,2,2,2,2,2,1,11
825,2,2,2,2,2,2,12
843,1,1,2,1,1,1,7
853,2,2,2,2,2,1,11
869,2,2,1,1,2,1,9
874,2,2,2,2,2,1,11
878,1,2,2,2,2,2,11
890,1,1,1,2,2,1,8
899,2,1,1,1,2,1,8
905,1,2,2,1,2,1,9
926,2,2,1,2,2,2,11
942,2,2,1,1,2,1,9
959,2,1,2,1,2,2,10
971,2,2,2,2,2,2,12
973,1,1,1,1,1,1,6
999,2,1,2,2,2,1,10
1004,2,2,1,2,1,1,9
1005,2,2,2,2,2,2,12
1028,1,2,2,2,1,1,9
1034,1,1,2,1,1,1,7
1035,2,2,1,2,2,2,11
1056,1,2,1,1,2,1,8
1059,1,1,1,1,2,2,8
1071,1,2,2,2,1,1,9
1074,2,2,2,1,2,2,11
1080,2,1,2,2,2,1,10
1092,2,2,2,2,2,2,12
1093,1,2,2,1,2,2,10
1103,2,2,2,2,2,2,12
1112,2,2,2,2,2,2,12
1114,1,1,1,1,2,2,8
1118,2,2,2,2,2,2,12
1132,1,1,1,1,1,1,6
1135,2,1,2,2,2,2,11
1180,1,-1,1,2,2,2,7
1209,2,2,2,2,2,1,11
1212,2,2,2,2,2,2,12
1215,2,2,1,1,2,1,9
1226,2,1,2,1,2,1,9
1241,1,2,2,1,2,1,9
1243,2,2,1,2,2,2,11
1251,2,2,2,1,2,1,10
1253,1,2,1,2,2,2,10
1259,1,2,1,2,2,1,9
1306,1,2,2,2,2,2,11
1308,1,2,2,1,1,1,8
1342,2,2,2,2,2,1,11
1347,2,2,2,2,2,1,11
1353,1,2,2,2,1,2,10
1366,2,1,2,2,1,1,9
1385,1,2,2,2,1,1,9
1387,1,2,2,2,2,2,11
1396,2,2,2,2,2,2,12
1402,1,1,2,1,1,1,7
1434,2,2,2,2,1,1,10
1458,2,1,2,1,2,2,10
1479,2,2,1,1,2,2,10
1481,1,1,1,1,1,1,6
1500,2,1,2,1,2,1,9
1518,1,2,2,2,1,1,9
4,2,2,2,2,2,2,12
19,1,2,2,2,1,2,10
24,1,2,2,2,2,2,11
27,2,2,2,2,2,2,12
61,1,2,1,2,1,1,8
65,2,1,2,2,2,2,11
70,2,2,2,2,2,2,12
74,2,2,2,1,2,2,11
81,2,2,1,2,1,2,10
82,1,2,2,2,2,2,11
85,2,2,2,2,2,1,11
102,1,2,1,1,2,1,8
108,1,2,2,1,2,1,9
111,2,2,2,2,2,2,12
112,1,2,2,2,2,1,10
113,2,2,2,2,2,2,12
127,2,2,2,2,2,2,12
144,2,2,2,2,2,1,11
145,2,2,2,2,2,2,12
156,2,2,2,2,2,2,12
163,2,2,2,2,2,2,12
164,1,1,1,1,1,1,6
165,2,2,2,2,2,1,11
175,2,2,2,2,2,1,11
200,2,2,2,2,2,1,11
203,1,2,2,1,1,1,8
217,2,2,2,2,2,2,12
219,2,2,2,2,2,2,12
226,1,2,2,2,2,1,10
270,1,2,2,2,1,2,10
289,1,2,2,2,2,2,11
296,2,2,2,2,2,2,12
301,1,2,1,2,1,2,9
310,2,2,2,2,2,1,11
313,2,2,2,1,2,2,11
315,2,1,2,2,2,2,11
327,1,2,2,2,1,2,10
347,1,2,2,2,1,2,10
356,2,2,2,2,2,2,12
360,2,2,2,2,2,2,12
369,2,2,2,2,2,1,11
381,2,2,2,2,2,1,11
406,2,2,2,2,2,2,12
439,2,2,2,2,2,2,12
